Id,Name,Character,Release Date (JP),Release Date (EN),Rarity,Speed%,Stamina%,Power%,Guts%,Wit%,Turf,Dirt,Sprint,Mile,Middle,Long,Front,Pace,Late,End
219,リトモ・デッラ・テッラ,Sounds of Earth,2024-04-19,,3,0,10,10,10,0,A,G,G,F,A,A,G,B,A,E
220,ソナタ・アッラ・メンタ,Sounds of Earth,2026-01-30,,3,0,14,8,8,0,A,G,G,F,A,A,G,A,A,E
221,Inspiring Genius,Royce and Royce,2026-02-14,,2,0,0,10,0,20,A,G,G,B,A,E,E,A,A,G
222,Dragon Rising,Katsuragi Ace,2023-07-10,,3,10,0,10,10,0,A,G,E,B,A,B,A,A,E,G
223,雅号・墨龍,Katsuragi Ace,2024-12-27,,3,5,0,10,15,0,A,G,E,B,A,B,A,A,E,G
224,Universe-Naut,Neo Universe,2023-04-19,,3,0,0,0,0,30,A,G,F,B,A,B,F,A,A,C
225,Like “ZEER”,Neo Universe,2024-08-30,,3,0,0,7,10,13,A,G,F,B,A,B,F,A,A,C
226,Miracle Maker,Hishi Miracle,2023-05-10,,3,7,8,7,8,0,A,G,G,G,A,A,G,C,A,B
227,ハッピー・リトル・ノーツ,Hishi Miracle,2025-08-29,,3,0,14,8,8,0,A,G,G,G,A,A,G,C,A,B
228,GLITTER!,Tap Dance City,2023-11-20,,3,10,0,10,10,0,A,G,G,E,A,A,A,B,F,G
229,Tap! Tap! Tap!,Tap Dance City,2025-03-31,,3,10,0,0,20,0,A,G,G,E,A,A,A,B,F,G
230,Red in Black,Duramente,2024-02-24,,3,20,0,10,0,0,A,G,G,A,A,C,G,C,A,A
231,Dream Successor,Rhein Kraft,2024-03-21,,3,0,0,15,15,0,A,G,A,A,B,G,E,A,C,G
232,Eternal Fairytale,Rhein Kraft,,,3,5,0,15,0,10,A,G,B,A,A,G,E,A,C,G
233,Future Weaver,Cesario,2024-09-10,,3,10,0,10,0,10,A,G,G,A,A,F,G,A,A,C
234,Twinbell Queen,Cesario,2025-05-30,,3,0,0,10,20,0,A,G,G,A,A,F,G,A,A,C
235,Inherited Hope,Air Messiah,2024-11-18,,3,0,0,15,0,15,A,G,C,B,A,G,G,B,A,E
236,Daring Darling!,Daring Heart,2026-05-11,,3,0,0,0,20,10,A,D,B,A,E,G,D,A,F,G
237,Assorted Cuteness♡,Fusaichi Pandora,2025-07-22,,3,0,10,0,10,10,A,E,G,B,A,G,C,A,B,F
238,Snatchin' Hearts ♡,Fusaichi Pandora,2026-08-14,,3,0,0,14,8,8,A,E,G,B,A,G,C,A,B,F
239,Heroína Inocente,Buena Vista,2025-11-19,,3,10,0,10,0,10,A,F,G,A,A,C,G,B,A,A
240,総攬,Orfevre,2025-02-24,,3,10,10,10,0,0,A,D,G,C,A,A,G,F,A,A
241,Regina dei fiori,Gentildonna,2024-08-24,,3,10,10,10,0,0,A,G,G,A,A,A,E,A,A,D
242,La dama perfetta,Gentildonna,2026-05-29,,3,0,0,10,10,10,A,G,G,A,A,A,E,A,A,D
243,ドラマティック・チュチュ,Win Variation,2024-12-10,,3,10,0,10,10,0,A,G,G,E,A,A,G,E,A,A
244,Glacial Queen,Admire Groove,2026-04-20,,3,10,0,0,10,10,A,G,G,B,A,G,G,B,A,C
245,夢路のよすが,Dream Journey,2024-06-26,,3,0,10,10,0,10,A,G,F,C,A,A,G,G,A,A
246,雪白の夢路,Dream Journey,2025-11-28,,3,20,10,0,0,0,A,G,F,C,A,A,G,G,A,A
247,真実一路,Calstone Light O,2024-07-19,,3,15,0,15,0,0,A,G,A,D,G,G,A,C,G,G
248,Chevalier fidèle,Durandal,2024-09-20,,3,20,0,10,0,0,A,G,A,A,F,G,G,G,C,A
249,POPPING!,Bubble Gum Fellow,2024-10-11,,3,20,0,0,10,0,A,G,G,A,A,G,E,A,B,G
250,暁光,Bubble Gum Fellow,2026-01-08,,3,0,0,10,20,0,A,G,G,A,A,G,E,A,B,G
251,義心の黒焔,Fenomeno,2025-04-21,,3,0,10,0,20,0,A,G,G,G,A,A,C,A,E,G
252,剛毅なる紫焔,Fenomeno,2026-08-31,,3,10,10,0,10,0,A,G,G,G,A,A,C,A,E,G
253,The Changer,Almond Eye,2026-02-24,,3,10,10,10,0,0,A,G,G,A,A,F,G,A,A,D
254,万折不撓の纏,Lucky Lilac,2026-04-10,,3,0,0,10,10,10,A,G,G,A,A,C,F,A,A,G
255,smile my way!,Gran Alegria,2025-03-11,,3,0,0,10,20,0,A,G,A,A,C,G,F,A,A,B
256,9927 Wishes,Loves Only You,2025-05-21,,3,10,10,0,10,0,A,G,G,C,A,F,G,A,A,G
257,Love-Linked Aster,Loves Only You,2026-03-11,,3,0,10,0,10,10,A,G,G,C,A,F,G,A,A,G
258,陸離の編纂者,Chrono Genesis,2025-06-13,,3,10,10,0,10,0,A,G,G,B,A,A,G,A,C,E
259,花宿しのクチュール,Curren Bouquetd'or,2026-06-15,,3,0,10,0,10,10,A,G,G,B,A,B,E,A,B,G
260,Sunlit Outsider,Stay Gold,2025-12-21,,3,0,10,0,20,0,A,G,G,G,A,A,G,B,A,C
261,Divine Raiment,Red Desire,2026-05-20,,3,10,0,0,10,10,A,B,G,A,A,F,G,B,A,F
262,Miracle Author,Kiseki,2026-01-19,,3,10,0,0,10,10,A,G,G,C,A,A,A,B,A,E
263,Fate's Chosen Star,Epiphaneia,2026-08-24,,3,0,10,10,0,10,A,G,G,E,A,A,D,A,B,G
264,Lueur Angélique,Victoire Pisa,2026-03-19,,3,0,10,0,10,10,A,A,G,B,A,B,G,A,A,E
265,Monochrome GM,Rulership,2026-07-21,,3,0,10,10,0,10,A,G,G,B,A,B,G,A,A,A
266,絶佳の暁闇,Phalaenopsis,2026-09-11,,3,0,10,10,10,0,A,F,D,A,A,F,G,A,A,C
